question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
"Co znamená sekce s názvem ""News"" v dokumentaci?",News,"Harbor (hub.cerit.io), NBGrader Docs, NBGrader Docs, BinderHub, Jak získat přístup",,False,cz,4,1
"Je sekce ""News"" relevantní pro aktuální aktualizace nebo oznámení?",News,"Harbor (hub.cerit.io), NBGrader Docs, Žádost o projekt, řízení přístupu, NBGrader Docs, Jak získat přístup",,False,cz,4,1
"Jaký typ obsahu bych měl očekávat pod ikonou ""Single""?",News,"Minio, NBGrader Docs, NBGrader Docs, Desktop, ShinySOM",,False,cz,4,1
"Proč je v sekci ""none"" uvedeno ""none""?",News,"Harbor (hub.cerit.io), Desktop, ShinySOM, NBGrader Docs, RStudio",,False,cz,5,0
"Jaký je účel této části dokumentace, když neobsahuje žádné informace?",News,"Harbor (hub.cerit.io), BinderHub, JupyterHub, NBGrader Docs, Jak získat přístup",,False,cz,5,0
Jaké obrazy Dockeru jsou k dispozici pro použití s SSH?,Spuštění Virtuálního Stroje,"MPI Operator, Dockerfile, Spuštění Virtuálního Stroje, Omezení spouštění Docker obrazů, Harbor (hub.cerit.io)",3.0,True,cz,5,0
Jaké jsou požadavky pro spuštění virtuálního stroje?,Spuštění Virtuálního Stroje,"Desktop, Secrets pro úložiště, Spuštění Virtuálního Stroje, NBGrader Docs, Moodle",3.0,True,cz,5,0
Jak vytvořit a nasadit manifest pro jednoduchý virtuální stroj?,Spuštění Virtuálního Stroje,"Spuštění Virtuálního Stroje, Jak spustit webový server NGINX, Ansys, Desktop, Matlab",1.0,True,cz,5,0
Jak lze nainstalovat další software do virtuálního stroje?,Spuštění Virtuálního Stroje,"Ansys, Matlab, Desktop, Spuštění Virtuálního Stroje, ShinySOM",4.0,True,cz,5,0
Jak vygenerovat SSH klíč na Linuxu/MacOS?,Spuštění Virtuálního Stroje,"Spuštění Virtuálního Stroje, MPI Operator, Secrets pro úložiště, Dockerfile, MinIO Operator",1.0,True,cz,5,0
Jaké komponenty tvoří loggingovou pipeline v Kubernetes clusteru?,Logging,"Logging, Spuštění Nextflow Pipelines v Kubernetes, Logging, MPI Operator, Tutorial pro Hello World",1.0,True,cz,4,1
Jakým způsobem se konfiguruje výstupní destinace logů v `SyslogNGOutput`?,Logging,"Logging, MinIO Operator, Omezení spouštění Docker obrazů, BinderHub, Spuštění Virtuálního Stroje",1.0,True,cz,5,0
Jak se nasazuje nová loggingová pipeline v Kubernetes clusteru?,Logging,"Logging, Spuštění Nextflow Pipelines v Kubernetes, Logging, Tutorial pro Hello World, GitLab Kubernetes Agent",1.0,True,cz,4,1
Jaké logické operátory jsou podporovány příkazy `match` v `SyslogNGFlow`?,Logging,"Logging, Spuštění Nextflow Pipelines v Kubernetes, Spuštění aplikace Omero, Spark Operator, Vystavování aplikací",1.0,True,cz,5,0
Jak mohu specifikovat namespace pro `SyslogNGFlow` a `SyslogNGOutput`?,Logging,"Logging, Logging, Spuštění Nextflow Pipelines v Kubernetes, MinIO Operator, Namespaces",1.0,True,cz,4,1
Co poskytují namespaces v Kubernetes?,Namespaces,"Namespaces, Namespaces, Projekty, Namespaces a Kvóty, Rancher, Postgres Operator Cloudnative-PG",1.0,True,cz,4,1
Jak lze zkontrolovat existující namespaces v Rancher GUI?,Namespaces,"Namespaces, Rancher, Projekty, Namespaces a Kvóty, Namespaces, ShinySOM",1.0,True,cz,4,1
Proč není dobrým nápadem pojmenovat namespace jako *test*?,Namespaces,"Rancher, Postgres Operator Cloudnative-PG, RStudio, Desktop, Vystavování aplikací",,False,cz,5,0
Proč není doporučeno vytvářet namespaces pomocí kubectl?,Namespaces,"Rancher, Projekty, Namespaces a Kvóty, Namespaces, MinIO Operator, Spuštění Nextflow Pipelines v Kubernetes",3.0,True,cz,5,0
Jaký je postup pro vytvoření nového namespace v Rancher GUI?,Namespaces,"Namespaces, Rancher, Projekty, Namespaces a Kvóty, ShinySOM, Desktop",1.0,True,cz,5,0
Jaké jsou požadavky pro použití služby generování tajemství?,Secrets pro úložiště,"Projekty, Namespaces a Kvóty, NBGrader Docs, Ansys, Secrets pro úložiště, NBGrader Docs",4.0,True,cz,4,1
Jaké typy objektů lze vytvořit pro přístup k úložišti v Kubernetes clusteru?,Secrets pro úložiště,"Harbor (hub.cerit.io), Žádost o projekt, řízení přístupu, Postgres Operator Cloudnative-PG, Rancher, Přidání shellu do obrazu, který jej nemá",,False,cz,5,0
"Jaké kroky je třeba podniknout, pokud není vaše kerberos jméno spojeno s Rancher účtem?",Secrets pro úložiště,"Secrets pro úložiště, Rancher Aplikace, RStudio, Spuštění Virtuálního Stroje, Jak spustit webový server NGINX",1.0,True,cz,5,0
Jaký prostor názvů by měl být vybrán pro uložení vygenerovaných objektů?,Secrets pro úložiště,"Matlab, Úložiště, Ansys, Žádost o projekt, řízení přístupu, Projekty, Namespaces a Kvóty",,False,cz,5,0
K čemu lze využít Samba tajemství?,Secrets pro úložiště,"Samba Server, NBGrader Docs, NBGrader Docs, ShinySOM, Spuštění Virtuálního Stroje",,False,cz,4,1
Kdo je odpovědný za emailovou adresu k8s@ics.muni.cz?,Kontakty,"Kontakty, Žádost o projekt, řízení přístupu, Requesting a Project, Access Control, Úložiště, BinderHub",1.0,True,cz,4,1
Jaký je email pro kontaktování požadavkového systému?,Kontakty,"Kontakty, JupyterHub, BinderHub, Žádost o projekt, řízení přístupu, Spuštění Nextflow Pipelines v Kubernetes",1.0,True,cz,5,0
Jaká je emailová adresa pro komunikaci s požadavkovým systémem na ICS MU?,Kontakty,"Kontakty, Žádost o projekt, řízení přístupu, JupyterHub, BinderHub, NBGrader Docs",1.0,True,cz,4,1
Kde mohu najít kontakty pro požadavkový systém?,Kontakty,"Desktop, Spuštění Virtuálního Stroje, Rancher Aplikace, Matlab, Přehled platformy kontejnerů",,False,cz,5,0
Jak mohu kontaktovat požadavkový systém prostřednictvím emailu?,Kontakty,"Kontakty, JupyterHub, BinderHub, Žádost o projekt, řízení přístupu, Rancher Aplikace",1.0,True,cz,5,0
Jaký je proces konverze Secretu na Sealed Secret?,Ukládání Kubernetes Secrets do Gitu,"Ukládání Kubernetes Secrets do Gitu, Spuštění Virtuálního Stroje, Secrets pro úložiště, Vystavování aplikací, Postgres Operator Cloudnative-PG",1.0,True,cz,5,0
"Jaké jsou hlavní důvody, proč není bezpečné ukládat Kubernetes Secrets přímo do git repozitáře?",Ukládání Kubernetes Secrets do Gitu,"Ukládání Kubernetes Secrets do Gitu, Secrets pro úložiště, Spuštění Virtuálního Stroje, GitLab Kubernetes Agent, Dockerfile",1.0,True,cz,5,0
Jakým způsobem je zajištěna bezpečnost Sealed Secretů proti zneužití v jiných namespaces?,Ukládání Kubernetes Secrets do Gitu,"Ukládání Kubernetes Secrets do Gitu, Vystavování aplikací, Úložiště, Secrets pro úložiště, Spuštění Virtuálního Stroje",1.0,True,cz,5,0
Jak se instaluje a používá kubeseal pro šifrování Secretů?,Ukládání Kubernetes Secrets do Gitu,"Spuštění Virtuálního Stroje, Secrets pro úložiště, Postgres Operator Cloudnative-PG, Vystavování aplikací, RStudio",,False,cz,5,0
Jaký program je doporučený pro bezpečné ukládání Kubernetes Secrets do gitu?,Ukládání Kubernetes Secrets do Gitu,"Ukládání Kubernetes Secrets do Gitu, Secrets pro úložiště, Spuštění Virtuálního Stroje, Postgres Operator Cloudnative-PG, Vystavování aplikací",1.0,True,cz,5,0
Jaké jsou požadavky na členství pro přístup k JupyterHub na hub.cloud.e-infra.cz?,JupyterHub,"JupyterHub, BinderHub, Projekty, Namespaces a Kvóty, Omezení spouštění Docker obrazů, Secrets pro úložiště",1.0,True,cz,5,0
"Jaké jsou limity zdrojů (CPU, paměť, GPU) pro jednotlivé instance notebooků na JupyterHub?",JupyterHub,"BinderHub, JupyterHub, GPU a další zdroje, NBGrader Docs, NBGrader Docs",2.0,True,cz,4,1
Jaké předpřipravené obrazy jsou k dispozici pro uživatele JupyterHub?,JupyterHub,"JupyterHub, BinderHub, RStudio, Projekty, Namespaces a Kvóty, NBGrader Docs",1.0,True,cz,4,1
Jakým způsobem lze vytvořit a použít vlastní obraz pro JupyterHub?,JupyterHub,"JupyterHub, BinderHub, RStudio, JupyterHub, Projekty, Namespaces a Kvóty",1.0,True,cz,4,1
Jaký mechanismus je implementován pro rozhodování o odstranění instance notebooku na základě využití zdrojů?,JupyterHub,"JupyterHub, BinderHub, NBGrader Docs, NBGrader Docs, Desktop",1.0,True,cz,4,1
Jakou roli hraje ELIXIR v kontextu TESK/WES?,TES/WES,"TES/WES, JupyterHub, Přehled Operátorů, Spuštění Nextflow Pipelines v Kubernetes, TES/WES",1.0,True,cz,4,1
Kde lze najít implementaci TESK?,TES/WES,"Spuštění Virtuálního Stroje, Desktop, Přidání shellu do obrazu, který jej nemá, Vystavování aplikací, Přehled platformy kontejnerů",,False,cz,5,0
Jak se WES vztahuje k TESK a co umožňuje uživatelům?,TES/WES,"NBGrader Docs, NBGrader Docs, Rancher, ownCloud, JupyterHub",,False,cz,4,1
Jaké jsou české koncové body pro TESK a WES?,TES/WES,"TES/WES, Projekty, Namespaces a Kvóty, JupyterHub, Harbor (hub.cerit.io), Jak získat přístup",1.0,True,cz,5,0
Co je TESK a na jakém API je založen?,TES/WES,"Minio, Vystavování aplikací, JupyterHub, Bezpečnost a síťová politika, Jak spustit webový server NGINX",,False,cz,5,0
Jaké jsou dva způsoby spuštění RStudia podle dokumentace?,RStudio,"JupyterHub, RStudio, Harbor (hub.cerit.io), Úložiště, BinderHub",2.0,True,cz,5,0
Jaké verze R jsou dostupné při spuštění RStudia jako aplikace Rancher?,RStudio,"RStudio, Secrets pro úložiště, Rancher Aplikace, Rancher, Spuštění Virtuálního Stroje",1.0,True,cz,5,0
Kdo musí mít platný účet MetaCentrum pro použití JupyterHubu ke spuštění RStudia?,RStudio,"JupyterHub, RStudio, Matlab, Secrets pro úložiště, BinderHub",2.0,True,cz,5,0
Jak lze nainstalovat další balíčky pomocí `conda` nebo `mamba` v RStudiu?,RStudio,"RStudio, Spuštění Virtuálního Stroje, Desktop, Omezení spouštění Docker obrazů, BinderHub",1.0,True,cz,5,0
Jaký je postup pro připojení externího úložiště `storage-brno12-cerit.metacentrum.cz` k aplikaci RStudio?,RStudio,"RStudio, Matlab, Desktop, JupyterHub, Secrets pro úložiště",1.0,True,cz,5,0
Co je důležité specifikovat v bezpečnostním kontextu Podu?,Bezpečnostní Kontext,"Bezpečnostní Kontext, Harbor (hub.cerit.io), Ansys, NBGrader Docs, Rancher Aplikace",1.0,True,cz,4,1
Je `fsGroupChangePolicy: OnRootMismatch` povinné při definování bezpečnostního kontextu Podu?,Bezpečnostní Kontext,"Bezpečnostní Kontext, Jak získat přístup, Přidání shellu do obrazu, který jej nemá, Spuštění Nextflow Pipelines v Kubernetes, Bezpečnost a síťová politika",1.0,True,cz,5,0
"Jaké bezpečnostní možnosti je třeba nastavit v kontejneru, aby nedošlo k selhání nasazení po upgradu?",Bezpečnostní Kontext,"NBGrader Docs, NBGrader Docs, Bezpečnostní Kontext, Ansys, Žádost o projekt, řízení přístupu",3.0,True,cz,4,1
Co se stane s PSP při upgradu na Kubernetes verze 1.25?,Bezpečnostní Kontext,"Bezpečnostní Kontext, Spuštění aplikace Omero, Spuštění Virtuálního Stroje, Přehled platformy kontejnerů, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
Jaké jsou klíčové změny v bezpečnostním kontextu při přechodu z PSP na PSA?,Bezpečnostní Kontext,"Bezpečnostní Kontext, Minio, Ansys, Projekty, Namespaces a Kvóty, ShinySOM",1.0,True,cz,5,0
Co zahrnuje zdroj `ephemeral-storage` a jaké jednotky se používají pro jeho specifikaci?,GPU a další zdroje,"Úložiště, Matlab, Desktop, Scipion, Spuštění Virtuálního Stroje",,False,cz,5,0
Jaký je rozdíl mezi *Požadavky* a *Limity* zdrojů v Kubernetes?,GPU a další zdroje,"Projekty, Namespaces a Kvóty, Spuštění Virtuálního Stroje, Žádost o projekt, řízení přístupu, GPU a další zdroje, Přidání shellu do obrazu, který jej nemá",4.0,True,cz,5,0
Jaké jsou dvě metody pro specifikaci GPU zdrojů v Kubernetes?,GPU a další zdroje,"BinderHub, GPU a další zdroje, Spuštění Virtuálního Stroje, JupyterHub, Dostupný hardware",2.0,True,cz,5,0
Jak může uživatel specifikovat množství CPU zdrojů v Kubernetes?,GPU a další zdroje,"Spuštění Virtuálního Stroje, Projekty, Namespaces a Kvóty, GPU a další zdroje, Dostupný hardware, BinderHub",3.0,True,cz,5,0
Jak lze zvýšit velikost sdílené paměti (SHM) pro kontejner?,GPU a další zdroje,"Spuštění Virtuálního Stroje, GPU a další zdroje, Ansys, Žádost o projekt, řízení přístupu, Přidání shellu do obrazu, který jej nemá",2.0,True,cz,5,0
"Co je nutné vyplnit ve formuláři při instalaci aplikace, pokud chcete použít zobrazení pomocí WEBRTC?",Desktop,"Desktop, Matlab, Ansys, Vystavování aplikací, Minio",1.0,True,cz,5,0
Jaké kroky jsou nutné k instalaci desktopové aplikace pomocí Rancher?,Desktop,"Rancher Aplikace, Desktop, RStudio, Secrets pro úložiště, Scipion",2.0,True,cz,5,0
Jaké jsou možnosti pro zachování dat při odinstalaci desktopové aplikace?,Desktop,"Desktop, JupyterHub, BinderHub, Rancher Aplikace, NBGrader Docs",1.0,True,cz,4,1
Jaké možnosti zobrazení jsou k dispozici při konfiguraci desktopové aplikace a jaké jsou jejich výhody?,Desktop,"Desktop, JupyterHub, NBGrader Docs, NBGrader Docs, BinderHub",1.0,True,cz,4,1
Jaké jsou doporučené limity pro CPU při používání desktopové aplikace?,Desktop,"BinderHub, GPU a další zdroje, JupyterHub, Desktop, Projekty, Namespaces a Kvóty",4.0,True,cz,5,0
Které GPU akcelerátory jsou dostupné v kuba-clusteru a jak jsou rozděleny mezi uzly?,Dostupný hardware,"JupyterHub, Spuštění Virtuálního Stroje, BinderHub, Dostupný hardware, GPU a další zdroje",4.0,True,cz,5,0
Jaký typ úložiště a zálohování dat je poskytován v kubas-clusteru?,Dostupný hardware,"Dostupný hardware, Přidání shellu do obrazu, který jej nemá, Harbor (hub.cerit.io), Žádost o projekt, řízení přístupu, Kubectl",1.0,True,cz,5,0
Jaké jsou specifikace síťového připojení pro uzly v běžných clusterech?,Dostupný hardware,"Rancher, Postgres Operator Cloudnative-PG, Harbor (hub.cerit.io), Vystavování aplikací, Přidání shellu do obrazu, který jej nemá",,False,cz,5,0
"Jaké speciální vlastnosti mají kub-c uzly, které se mají připojit k kuba-clusteru?",Dostupný hardware,"Dostupný hardware, Kubectl, Přidání shellu do obrazu, který jej nemá, Harbor (hub.cerit.io), Postgres Operator Cloudnative-PG",1.0,True,cz,5,0
Kolik uzlů má kubh-cluster a jak jsou tyto uzly geograficky rozloženy?,Dostupný hardware,"Dostupný hardware, Kubectl, Vystavování aplikací, Přidání shellu do obrazu, který jej nemá, Postgres Operator Cloudnative-PG",1.0,True,cz,5,0
Jak vytvořit konfigurační soubor pro Secure VPN na Windows?,VPN,"VPN, Certifikát, Ansys, Matlab, Spuštění Virtuálního Stroje",1.0,True,cz,5,0
Jak aktivovat a deaktivovat tunel ve WireGuard na Linuxu?,VPN,"VPN, Rancher Aplikace, Bezpečnostní Kontext, BinderHub, Spuštění Virtuálního Stroje",1.0,True,cz,5,0
Jak zkontrolovat statistiky tunelu na Linuxu?,VPN,"Matlab, VPN, RStudio, Omezení spouštění Docker obrazů, BinderHub",2.0,True,cz,5,0
Jak importovat tunel ve WireGuard aplikaci na Windows?,VPN,"VPN, Ansys, Rancher Aplikace, NBGrader Docs, BinderHub",1.0,True,cz,4,1
Jak nainstalovat WireGuard na Windows a Linux?,VPN,"VPN, Omezení spouštění Docker obrazů, Certifikát, VPN, Spuštění Virtuálního Stroje",1.0,True,cz,4,1
Jaké jsou povolené akce a omezení politiky zabezpečení podů v `kuba-cluster`?,Tutorial pro Hello World,"Bezpečnost a síťová politika, Vystavování aplikací, Přidání shellu do obrazu, který jej nemá, Jak získat přístup, Harbor (hub.cerit.io)",,False,cz,5,0
Co dělá pole `replicas` v souboru `deployment.yaml`?,Tutorial pro Hello World,"Tutorial pro Hello World, FAQ, Postgres Operator Cloudnative-PG, Rancher, Use case Omero",1.0,True,cz,3,2
"Jaké jsou tři základní Kubernetes zdroje, které musíme vytvořit pro nasazení aplikace?",Tutorial pro Hello World,"Přehled platformy kontejnerů, Harbor (hub.cerit.io), Přidání shellu do obrazu, který jej nemá, Projekty, Namespaces a Kvóty, Spuštění Virtuálního Stroje",,False,cz,5,0
Jaký je účel `Service` v Kubernetes a jak je nakonfigurována v tomto tutoriálu?,Tutorial pro Hello World,"Tutorial pro Hello World, Kubectl, Spuštění Virtuálního Stroje, Přehled platformy kontejnerů, Jak spustit webový server NGINX",1.0,True,cz,5,0
Co je `Ingress` a jaké jsou dva požadavky na název hostitele v jeho konfiguraci v tomto tutoriálu?,Tutorial pro Hello World,"Bezpečnost a síťová politika, Tutorial pro Hello World, Vystavování aplikací, Jak spustit webový server NGINX, Osobní monitorování",2.0,True,cz,5,0
Jak omezit grafy pouze na 'cerit-sc' při výběru aplikace k spuštění?,Rancher Aplikace,"Rancher Aplikace, Minio, Ansys, Desktop, JupyterHub",1.0,True,cz,5,0
Jaký prostor názvů by měl být vybrán před spuštěním aplikace?,Rancher Aplikace,"Matlab, Desktop, Ansys, ShinySOM, Minio",,False,cz,5,0
Jaké kroky je třeba dodržet pro spuštění aplikace v Rancher?,Rancher Aplikace,"Rancher Aplikace, RStudio, Secrets pro úložiště, Rancher, Scipion",1.0,True,cz,5,0
"Co se stane, když v kroku instalace aplikace nevyberete možnost 'Přizpůsobit možnosti Helm před instalací'?",Rancher Aplikace,"Scipion, Ansys, Rancher Aplikace, Desktop, Osobní monitorování",3.0,True,cz,5,0
Jaké jsou kvóty pro garantované CPU a limit CPU v rámci výchozího projektu?,Rancher Aplikace,"Projekty, Namespaces a Kvóty, BinderHub, GPU a další zdroje, Desktop, Žádost o projekt, řízení přístupu",,False,cz,5,0
"Co se stane, pokud běžící kontejner překročí limity Paměti?","Projekty, Namespaces a Kvóty","Secrets pro úložiště, GPU a další zdroje, Projekty, Namespaces a Kvóty, RStudio, Ansys",3.0,True,cz,5,0
Jaké jsou aktuálně aplikované kvóty pro CPU a Paměť na Osobní projekt a výchozí Namespace?,"Projekty, Namespaces a Kvóty","Projekty, Namespaces a Kvóty, Rancher, ShinySOM, Vystavování aplikací, BinderHub",1.0,True,cz,5,0
Jaký je postup pro změnu kvót zdrojů pro existující Namespace?,"Projekty, Namespaces a Kvóty","Rancher, Projekty, Namespaces a Kvóty, Namespaces, RStudio, Vystavování aplikací",2.0,True,cz,5,0
"Jaké jsou dvě možnosti, pokud uživatel chce vytvořit nový Namespace, ale nemůže rozšířit kvóty Osobního projektu?","Projekty, Namespaces a Kvóty","Rancher, Projekty, Namespaces a Kvóty, Namespaces, RStudio, Spuštění Nextflow Pipelines v Kubernetes",2.0,True,cz,5,0
"Proč by uživatelé neměli vytvářet Namespace pomocí `kubectl` nebo `helm`, ale raději používat uživatelské rozhraní Rancher?","Projekty, Namespaces a Kvóty","Projekty, Namespaces a Kvóty, Rancher, Scipion, Namespaces, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
Jak se mohu přihlásit do Rancher instance na rancher.cloud.e-infra.cz?,Rancher,"Rancher, Spuštění Virtuálního Stroje, ownCloud, Secrets pro úložiště, Žádost o projekt, řízení přístupu",1.0,True,cz,5,0
Jakým způsobem mohu vytvořit nový namespace v Rancheru?,Rancher,"Namespaces, Rancher, Projekty, Namespaces a Kvóty, ownCloud, RStudio",2.0,True,cz,5,0
Jaké omezení je spojeno s používáním příkazového řádku kubectl v Rancheru?,Rancher,"Secrets pro úložiště, Rancher Aplikace, RStudio, Spuštění Virtuálního Stroje, Rancher",5.0,True,cz,5,0
"Jaké jsou rozdíly mezi clustery, projekty a namespaces v Rancheru a Kubernetes?",Rancher,"Rancher, Namespaces, Projekty, Namespaces a Kvóty, Harbor (hub.cerit.io), Vystavování aplikací",1.0,True,cz,5,0
"Co mám dělat, pokud po přihlášení nevidím žádný cluster?",Rancher,"Postgres Operator Cloudnative-PG, Přidání shellu do obrazu, který jej nemá, Harbor (hub.cerit.io), Dostupný hardware, Žádost o projekt, řízení přístupu",,False,cz,5,0
Je možné mít více konfigurací clusterů v jednom konfiguračním souboru?,Kubectl,"Přidání shellu do obrazu, který jej nemá, Postgres Operator Cloudnative-PG, Kubectl, Dostupný hardware, Harbor (hub.cerit.io)",3.0,True,cz,5,0
Jaké oprávnění by měl mít soubor `$HOME/.kube/config`?,Kubectl,"Kubectl, Spuštění Virtuálního Stroje, MinIO Operator, Vystavování aplikací, Spuštění aplikace Omero",1.0,True,cz,5,0
"Co udělat, pokud soubor `$HOME/.kube/config` neexistuje?",Kubectl,"Kubectl, Omezení spouštění Docker obrazů, Spuštění Virtuálního Stroje, MinIO Operator, Dockerfile",1.0,True,cz,5,0
Jak se instaluje nástroj Kubectl?,Kubectl,"Kubectl, Spuštění Virtuálního Stroje, Ansys, Rancher, Přidání shellu do obrazu, který jej nemá",1.0,True,cz,5,0
Kde se nachází soubor kube config potřebný pro fungování Kubectl?,Kubectl,"Kubectl, Spuštění Virtuálního Stroje, Desktop, Omezení spouštění Docker obrazů, ownCloud",1.0,True,cz,5,0
Jaké typy definuje Spark Operator na úrovni clusteru?,Spark Operator,"Spark Operator, MPI Operator, Postgres Operator Cloudnative-PG, Spark Operator, Přehled Operátorů",1.0,True,cz,4,1
"Co musíte nastavit v konfiguraci, aby vaše Spark aplikace fungovala správně?",Spark Operator,"Spark Operator, Přidání shellu do obrazu, který jej nemá, Desktop, ownCloud, Minio",1.0,True,cz,5,0
