question,correct_document,retrieved_documents,position,correct_found,question_lang,num_czech,num_engl
How can you set up a CI/CD pipeline in GitLab to build Docker images?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, Vytváření Docker kontejnerů s GitLab, JupyterHub, GitLab Runner in Kubernetes",1.0,True,en,1,4
What are the prerequisites needed to build Docker containers with GitLab?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, JupyterHub, Limitations of Running Docker Images, Jobs",1.0,True,en,0,5
How can you use Docker images from the GitLab Container Registry if the project is public?,Building Docker containers with Gitlab,"Building Docker containers with Gitlab, Dockerfile, Vytváření Docker kontejnerů s GitLab, Jobs, Running Virtual Machine",1.0,True,en,1,4
What are the prerequisites for running a virtual machine using this documentation?,Running Virtual Machine,"Running Virtual Machine, Dockerfile, Add shell to an image without one, Minio, How to Run NGINX Web Server",1.0,True,en,0,5
How can you generate an SSH key on Linux or MacOS according to the documentation?,Running Virtual Machine,"Running Virtual Machine, MinIO Operator, BinderHub, Spuštění Virtuálního Stroje, Storage Secrets",1.0,True,en,1,4
Which Docker images are recommended for use in this documentation?,Running Virtual Machine,"Dockerfile, Jobs, JupyterHub, Welcome to the CERIT-SC Kubernetes Container Platform, Running Virtual Machine",5.0,True,en,0,5
How can you ensure data persistence across container restarts according to this documentation?,Running Virtual Machine,"JupyterHub, Jobs, BinderHub, Minio, ownCloud",,False,en,0,5
What is the procedure for installing CUDA using the described method?,Running Virtual Machine,"Matlab, Available Hardware, GPU and other Resources, Ansys, Scipion",,False,en,0,5
What is the difference between PSP and PSA in terms of security policy enforcement?,Security Context,"Security Context, Bezpečnostní Kontext, Storage, Requesting a Project, Access Control, Storage Secrets",1.0,True,en,1,4
What are the important new options for the Pod security context mentioned in the documentation?,Security Context,"Security Context, Hello world tutorial, Exposing Applications, FAQ, Bezpečnostní Kontext",1.0,True,en,1,4
What action should users take if they are running a CERIT-SC application from the Rancher?,Security Context,"Desktop, Rancher Applications, ownCloud, How to get Access, Scipion",,False,en,0,5
How does the Container security context differ from the Pod security context in a Kubernetes deployment?,Security Context,"Security Context, How to Run NGINX Web Server, FAQ, Hello world tutorial, MinIO Operator",1.0,True,en,0,5
Why is it important to add `fsGroupChangePolicy: OnRootMismatch` to the security context?,Security Context,"Security Context, MinIO Operator, FAQ, Bezpečnostní Kontext, Storing Kubernetes Secrets in Git",1.0,True,en,1,4
Where can I download the `add_shell.sh` script needed to add a shell to an image?,Add shell to an image without one,"Add shell to an image without one, Přidání shellu do obrazu, který jej nemá, Building Docker containers with Gitlab, Running Virtual Machine, JupyterHub",1.0,True,en,1,4
How do I specify a user ID when adding a shell to an image if the image user is not root?,Add shell to an image without one,"Add shell to an image without one, Limitations of Running Docker Images, Building Docker containers with Gitlab, Use case Omero, Přidání shellu do obrazu, který jej nemá",1.0,True,en,1,4
How can I add a shell to an existing Docker image that doesn't have one?,Add shell to an image without one,"Add shell to an image without one, Dockerfile, Limitations of Running Docker Images, Building Docker containers with Gitlab, Harbor (hub.cerit.io)",1.0,True,en,0,5
What are the prerequisites for adding a shell to an image?,Add shell to an image without one,"Add shell to an image without one, Přidání shellu do obrazu, který jej nemá, Chat AI, JupyterHub, Harbor (hub.cerit.io)",1.0,True,en,1,4
What should I do if I want to use the modified image with a shell in a Kubernetes environment?,Add shell to an image without one,"Add shell to an image without one, Přidání shellu do obrazu, který jej nemá, Limitations of Running Docker Images, Building Docker containers with Gitlab, Running Virtual Machine",1.0,True,en,1,4
Why is deploying an Operator with namespaced deployment discouraged?,Operator Summary,"Operator Summary, Storing Kubernetes Secrets in Git, Projects, Namespaces, and Quotas, Přehled Operátorů, Matlab",1.0,True,en,1,4
What are Custom Resources and how are they related to Operators?,Operator Summary,"Operator Summary, Jobs, Projects, Namespaces, and Quotas, Requesting a Project, Access Control, Přehled Operátorů",1.0,True,en,1,4
What should a user do if they want to use an Operator but lack the necessary cluster administrator privileges?,Operator Summary,"Operator Summary, Requesting a Project, Access Control, Přehled Operátorů, Limitations of Running Docker Images, MinIO Operator",1.0,True,en,1,4
Where can I find more information about the Operator pattern?,Operator Summary,"Operator Summary, Spark Operator, Postgres Operator Cloudnative-PG, MPI Operator, MinIO Operator",1.0,True,en,0,5
What is the Operator pattern and what tasks does it automate?,Operator Summary,"Operator Summary, Spark Operator, MPI Operator, MinIO Operator, Spark Operator",1.0,True,en,1,4
How can you allow a service to listen on ports below 1024 from outside the container?,Limitations of Running Docker Images,"Limitations of Running Docker Images, MinIO Operator, Exposing Applications, Postgres Operator Cloudnative-PG, Hello world tutorial",1.0,True,en,0,5
What is a consequence of not having root access in a running container?,Limitations of Running Docker Images,"Limitations of Running Docker Images, Dockerfile, Projects, Namespaces, and Quotas, FAQ, Use case Omero",1.0,True,en,0,5
What happens if you try to run a docker image without specifying a numeric UID?,Limitations of Running Docker Images,"Limitations of Running Docker Images, Dockerfile, Building Docker containers with Gitlab, How to Run NGINX Web Server, Jobs",1.0,True,en,0,5
How can you work around the limitation of not being able to write to `/var/log/`?,Limitations of Running Docker Images,"Limitations of Running Docker Images, Building Docker containers with Gitlab, Add shell to an image without one, Omezení spouštění Docker obrazů, FAQ",1.0,True,en,1,4
Why is using `fakeroot` and changing ownership during the docker build process considered an anti-pattern?,Limitations of Running Docker Images,"Limitations of Running Docker Images, Building Docker containers with Gitlab, Jobs, FAQ, Dockerfile",1.0,True,en,0,5
How can you run an unprivileged NGINX image on this Kubernetes platform?,How to Run NGINX Web Server,"How to Run NGINX Web Server, Jak spustit webový server NGINX, Add shell to an image without one, Limitations of Running Docker Images, FAQ",1.0,True,en,1,4
What is the correct user ID and group ID for the `nginx-unprivileged` image?,How to Run NGINX Web Server,"How to Run NGINX Web Server, Jak spustit webový server NGINX, Use case Omero, Requesting a Project, Access Control, Building Docker containers with Gitlab",1.0,True,en,1,4
What manifests are needed to expose the NGINX server to the internet?,How to Run NGINX Web Server,"How to Run NGINX Web Server, Exposing Applications, Samba Server, Hello world tutorial, Running Virtual Machine",1.0,True,en,0,5
What are some potential reasons for a failed NGINX deployment on Kubernetes?,How to Run NGINX Web Server,"How to Run NGINX Web Server, Limitations of Running Docker Images, FAQ, Jak spustit webový server NGINX, Hello world tutorial",1.0,True,en,1,4
How do you add persistent storage to the NGINX deployment?,How to Run NGINX Web Server,"How to Run NGINX Web Server, JupyterHub, GitLab Runner in Kubernetes, Matlab, RStudio",1.0,True,en,0,5
What should a user do if they don't see their Personal Project or Namespace after logging into Rancher GUI?,Namespaces,"Requesting a Project, Access Control, Namespaces, Rancher, Projects, Namespaces, and Quotas, Matlab",2.0,True,en,0,5
How can a user create a new namespace in the Rancher GUI?,Namespaces,"Projects, Namespaces, and Quotas, Namespaces, Rancher, Matlab, Storage Secrets",2.0,True,en,0,5
Why is it not recommended to create namespaces using kubectl in Rancher?,Namespaces,"Namespaces, Namespaces, Rancher, Projects, Namespaces, and Quotas, Rancher Applications",1.0,True,en,1,4
What is the purpose of namespaces in Kubernetes?,Namespaces,"Namespaces, Rancher, Projects, Namespaces, and Quotas, MinIO Operator, Hello world tutorial",1.0,True,en,0,5
Where can users check their namespaces in the Rancher interface?,Namespaces,"Rancher, Namespaces, Projects, Namespaces, and Quotas, Matlab, Storage Secrets",2.0,True,en,0,5
What command should you use to start a Nextflow pipeline in a Kubernetes environment?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Spuštění Nextflow Pipelines v Kubernetes, Hello world tutorial, Welcome to the CERIT-SC Kubernetes Container Platform, GitLab Runner in Kubernetes",1.0,True,en,1,4
What are the necessary configurations required in the `nextflow.config` file to run a Nextflow pipeline in Kubernetes?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Spuštění Nextflow Pipelines v Kubernetes, Logging, Jobs, FAQ",1.0,True,en,1,4
How do you install Nextflow on your local computer for running pipelines in a Kubernetes cluster?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Spuštění Nextflow Pipelines v Kubernetes, GitLab Runner in Kubernetes, Welcome to the CERIT-SC Kubernetes Container Platform, Scipion",1.0,True,en,1,4
What are the specific requirements for running the nf-core/sarek pipeline on Kubernetes?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, Jobs, Postgres Operator Cloudnative-PG, Available Hardware, GPU and other Resources",1.0,True,en,0,5
How can you debug a Nextflow pipeline running in Kubernetes if you encounter issues?,Running Nextflow Pipelines in Kubernetes,"Running Nextflow Pipelines in Kubernetes, FAQ, Logging, MPI Operator, How to Run NGINX Web Server",1.0,True,en,0,5
Where can you find the agent token during the installation process?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, Operator Summary, Desktop, Ansys, Personal Monitoring",1.0,True,en,0,5
How do you define a configuration repository for the GitLab Kubernetes Agent?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, Building Docker containers with Gitlab, GitLab Kubernetes Agent, Jobs",1.0,True,en,1,4
What are the prerequisites for installing the GitLab Kubernetes Agent?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, GitLab Kubernetes Agent, Building Docker containers with Gitlab, Matlab",1.0,True,en,1,4
What command is used to create a secret with the agent token?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, MinIO Operator, Use case Omero, Storing Kubernetes Secrets in Git",1.0,True,en,0,5
How can you check if the GitLab Kubernetes Agent is running?,GitLab Kubernetes Agent,"GitLab Kubernetes Agent, GitLab Runner in Kubernetes, Dockerfile, Building Docker containers with Gitlab, MPI Operator",1.0,True,en,0,5
How can I customize the Docker image used for my BinderHub notebook instances?,BinderHub,"BinderHub, Building Docker containers with Gitlab, JupyterHub, Jobs, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,0,5
What are the default resource limits for memory and CPU when using BinderHub?,BinderHub,"BinderHub, JupyterHub, Projects, Namespaces, and Quotas, FAQ, GPU and other Resources",1.0,True,en,0,5
How do I authenticate to use the CERIT-SC BinderHub instance?,BinderHub,"BinderHub, Storage, BinderHub, Harbor (hub.cerit.io), How to get Access",1.0,True,en,1,4
What should I do if I encounter an unknown error while trying to spawn a notebook in BinderHub?,BinderHub,"BinderHub, JupyterHub, Matlab, Minio, FAQ",1.0,True,en,0,5
What is the path for the persistent volume where I should save data for reuse across different BinderHub instances?,BinderHub,"BinderHub, JupyterHub, GitLab Runner in Kubernetes, Jobs, Matlab",1.0,True,en,0,5
Who are the three e-infrastructures that constitute the national e-INFRA CZ research infrastructure?,Contacts,"How to get Access, Contacts, Welcome to the CERIT-SC Kubernetes Container Platform, Jak získat přístup, Ansys",2.0,True,en,1,4
How can I contact the support team for issues related to Kubernetes services?,Contacts,"Contacts, Limitations of Running Docker Images, Operator Summary, FAQ, Postgres Operator Cloudnative-PG",1.0,True,en,0,5
Where is the Center CERIT-SC located?,Contacts,"Available Hardware, Contacts, How to get Access, Welcome to the CERIT-SC Kubernetes Container Platform, Storage",2.0,True,en,0,5
What services does CERIT-SC provide support for?,Contacts,"Contacts, Available Hardware, How to get Access, Storage, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,0,5
What is the email address to reach CERIT-SC for general inquiries?,Contacts,"Contacts, Requesting a Project, Access Control, How to get Access, Storage, RStudio",1.0,True,en,0,5
What is the format for requesting fractional GPU resources?,GPU and other Resources,"GPU and other Resources, BinderHub, JupyterHub, Projects, Namespaces, and Quotas, Jobs",1.0,True,en,0,5
How can you request a specific type of GPU when deploying a Pod?,GPU and other Resources,"GPU and other Resources, Projects, Namespaces, and Quotas, Running Virtual Machine, FAQ, Hello world tutorial",1.0,True,en,0,5
How can you increase the shared memory size for a container?,GPU and other Resources,"GPU and other Resources, FAQ, Projects, Namespaces, and Quotas, Matlab, GPU a další zdroje",1.0,True,en,1,4
What is the purpose of specifying the `ephemeral-storage` resource?,GPU and other Resources,"Storage, GPU and other Resources, Projects, Namespaces, and Quotas, JupyterHub, Desktop",2.0,True,en,0,5
What are the two types of resource limits discussed in the documentation?,GPU and other Resources,"GPU and other Resources, Projects, Namespaces, and Quotas, JupyterHub, FAQ, ShinySOM",1.0,True,en,0,5
How can you preserve the content of the home directory when reinstalling the RStudio application?,RStudio,"ShinySOM, RStudio, Matlab, Storage Secrets, Desktop",2.0,True,en,0,5
What is the recommended method for running RStudio and why?,RStudio,"RStudio, JupyterHub, Welcome to the CERIT-SC Kubernetes Container Platform, RStudio, Scipion",1.0,True,en,1,4
How can you configure RStudio to install packages when running in the Sensitive Cloud without direct internet access?,RStudio,"RStudio, Matlab, JupyterHub, Ansys, Running Nextflow Pipelines in Kubernetes",1.0,True,en,0,5
What steps are necessary to install additional packages using conda or mamba in RStudio?,RStudio,"RStudio, JupyterHub, Running Virtual Machine, RStudio, Matlab",1.0,True,en,1,4
What should you do if you need more than the default quota limit for CPUs in the Rancher RStudio setup?,RStudio,"RStudio, Scipion, Rancher Applications, Desktop, Projects, Namespaces, and Quotas",1.0,True,en,0,5
Where can a user find the list of assigned clusters they have access to in Rancher?,Rancher,"Rancher, Requesting a Project, Access Control, Storage Secrets, Rancher Applications, Scipion",1.0,True,en,0,5
How is the organizational structure of Rancher and Kubernetes described?,Rancher,"Rancher, GitLab Runner in Kubernetes, Hello world tutorial, Welcome to the CERIT-SC Kubernetes Container Platform, Scipion",1.0,True,en,0,5
What are the login options available for accessing the Rancher instance?,Rancher,"Storage Secrets, Scipion, Rancher, Running Virtual Machine, Rancher Applications",3.0,True,en,0,5
What is provided to each user upon their first login to the Rancher dashboard?,Rancher,"Rancher, Storage Secrets, Rancher Applications, Scipion, Requesting a Project, Access Control",1.0,True,en,0,5
What is the recommended way to create additional namespaces in Rancher?,Rancher,"Projects, Namespaces, and Quotas, Namespaces, Rancher, Matlab, Storage Secrets",3.0,True,en,0,5
"What are the available pre-configured Docker images provided by JupyterHub, and what are they optimized for?",JupyterHub,"JupyterHub, Welcome to the CERIT-SC Kubernetes Container Platform, BinderHub, Jobs, Dockerfile",1.0,True,en,0,5
What is JupyterHub and what are its primary use cases?,JupyterHub,"JupyterHub, BinderHub, Welcome to the CERIT-SC Kubernetes Container Platform, RStudio, BinderHub",1.0,True,en,1,4
What are the steps to start a custom JupyterLab environment with a personalized name?,JupyterHub,"JupyterHub, BinderHub, Matlab, GitLab Runner in Kubernetes, RStudio",1.0,True,en,0,5
What should a user do if they want to share a Jupyter notebook with another user or access it from a different browser session?,JupyterHub,"JupyterHub, BinderHub, RStudio, Matlab, Storage Secrets",1.0,True,en,0,5
How can a user access JupyterHub on the hub.cloud.e-infra.cz platform?,JupyterHub,"JupyterHub, JupyterHub, Welcome to the CERIT-SC Kubernetes Container Platform, BinderHub, Chat AI",1.0,True,en,1,4
What are the two types of projects differentiated in a Kubernetes cluster?,"Requesting a Project, Access Control","Rancher, Hello world tutorial, Requesting a Project, Access Control, Jobs, GitLab Runner in Kubernetes",3.0,True,en,0,5
What steps should be followed by an administrator to assign a group in CESNET Perun for access control?,"Requesting a Project, Access Control","Requesting a Project, Access Control, Žádost o projekt, řízení přístupu, Storage Secrets, Storage, VPN",1.0,True,en,1,4
What information is required when requesting a group project via email?,"Requesting a Project, Access Control","Requesting a Project, Access Control, Žádost o projekt, řízení přístupu, Projects, Namespaces, and Quotas, Rancher, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,1,4
How can someone who is not a member of MetaCentrum register to access projects in Rancher?,"Requesting a Project, Access Control","Storage Secrets, Requesting a Project, Access Control, Rancher, Welcome to the CERIT-SC Kubernetes Container Platform, Matlab",2.0,True,en,0,5
Who is responsible for assigning access control to a group project in Rancher?,"Requesting a Project, Access Control","Requesting a Project, Access Control, Rancher, Storage Secrets, Scipion, Rancher Applications",1.0,True,en,0,5
What are the key requirements for preparing a Docker image to run an MPIJob?,MPI Operator,"MPI Operator, JupyterHub, Dockerfile, MPI Operator, BinderHub",1.0,True,en,1,4
Why is it necessary to match the `sshAuthMountPath` user with the user created in the Docker image?,MPI Operator,"Limitations of Running Docker Images, Building Docker containers with Gitlab, Running Virtual Machine, Jobs, MPI Operator",5.0,True,en,0,5
How do you execute an MPI Job once the Docker image and manifest are ready?,MPI Operator,"MPI Operator, MPI Operator, JupyterHub, Add shell to an image without one, Building Docker containers with Gitlab",1.0,True,en,1,4
What is the role of the MPI Operator in running MPI jobs on Kubernetes?,MPI Operator,"MPI Operator, MPI Operator, Operator Summary, Spark Operator, Running Nextflow Pipelines in Kubernetes",1.0,True,en,1,4
How can a user find the full documentation for the Kubernetes kind `MPIJob`?,MPI Operator,"MPI Operator, MPI Operator, Jobs, JupyterHub, GitLab Runner in Kubernetes",1.0,True,en,1,4
Where can I find detailed documentation about Snakemake?,Snakemake,"Snakemake, Storage Secrets, Welcome to the CERIT-SC Kubernetes Container Platform, JupyterHub, Samba Server",1.0,True,en,1,4
Is there information available on how to use Snakemake?,Snakemake,"Snakemake, Samba Server, Storage Secrets, Scipion, Welcome to the CERIT-SC Kubernetes Container Platform",1.0,True,en,1,4
Where is the Snakemake title section located in the documentation?,Snakemake,"Snakemake, Storage Secrets, Foldify, Rancher, Matlab",1.0,True,en,1,4
What is Snakemake?,Snakemake,"Snakemake, Storage Secrets, Welcome to the CERIT-SC Kubernetes Container Platform, TES/WES, Samba Server",1.0,True,en,1,4
Is the documentation for Snakemake complete or still to be determined?,Snakemake,"Snakemake, Scipion, Matlab, JupyterHub, Chat AI",1.0,True,en,1,4
What is the prerequisite for a Minio server to access data from an application pod?,Minio,"Minio, ownCloud, Minio, MinIO Operator, Hello world tutorial",1.0,True,en,1,4
How can data be transferred to another application using the Minio server?,Minio,"Minio, Minio, MinIO Operator, MinIO Operator, Matlab",1.0,True,en,2,3
How do you set the Minio username and password during installation?,Minio,"Minio, MinIO Operator, Scipion, MinIO Operator, Minio",1.0,True,en,2,3
What should you do if you see `cm-acme-http-solver...` in the `Ingresses` section after installing the Minio application?,Minio,"Minio, ShinySOM, RStudio, Minio, Ansys",1.0,True,en,1,4
What happens to the data in the home directory if you delete a running Minio instance?,Minio,"Minio, ShinySOM, ownCloud, Ansys, Moodle",1.0,True,en,0,5
How can a user push a Docker image to the Harbor registry and what example command should be used?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), JupyterHub, Building Docker containers with Gitlab, Jobs, Running Virtual Machine",1.0,True,en,0,5
What precautions should users take when storing Docker images on Harbor in relation to Kubernetes access?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), JupyterHub, Limitations of Running Docker Images, Jobs, Building Docker containers with Gitlab",1.0,True,en,0,5
How can users access the Harbor docker registry and what credentials are required for command line login?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), JupyterHub, Building Docker containers with Gitlab, Harbor (hub.cerit.io), Jobs",1.0,True,en,1,4
"What storage limits are imposed on personal projects in Harbor, and how can users manage their storage usage?",Harbor (hub.cerit.io),"Projects, Namespaces, and Quotas, JupyterHub, Harbor (hub.cerit.io), Matlab, FAQ",3.0,True,en,0,5
How can users check for vulnerabilities in their Docker images on Harbor and what steps can be taken to address them?,Harbor (hub.cerit.io),"Harbor (hub.cerit.io), JupyterHub, Jobs, Limitations of Running Docker Images, Running Virtual Machine",1.0,True,en,0,5
What is the format of the final URL for accessing the Samba server?,Samba Server,"Samba Server, Storage Secrets, Chat AI, Samba Server, RStudio",1.0,True,en,1,4
How can you access the Samba network drive from outside the MUNI network?,Samba Server,"Samba Server, Storage Secrets, Samba Server, MinIO Operator, RStudio",1.0,True,en,1,4
What steps are required to connect to a Samba network drive on a Windows machine?,Samba Server,"Samba Server, Storage Secrets, Samba Server, RStudio, Running Virtual Machine",1.0,True,en,1,4
What prerequisites are necessary before installing the Samba server?,Samba Server,"Samba Server, Storage Secrets, Samba Server, RStudio, Matlab",1.0,True,en,1,4
How do you select the namespace when installing Samba in the Rancher GUI?,Samba Server,"Namespaces, Samba Server, Projects, Namespaces, and Quotas, Rancher, Storage Secrets",2.0,True,en,0,5
What happens if the application exceeds the maximum CPU or RAM resources?,Desktop,"Desktop, ShinySOM, RStudio, Matlab, JupyterHub",1.0,True,en,0,5
"What is the limit for guaranteed CPUs in the default project, and what should I do if I need more?",Desktop,"Projects, Namespaces, and Quotas, Matlab, Ansys, JupyterHub, Requesting a Project, Access Control",,False,en,0,5
How can I preserve the contents of the home directory when reinstalling the desktop application?,Desktop,"ShinySOM, Desktop, ownCloud, Matlab, Ansys",2.0,True,en,0,5
"Which display protocols are available for the desktop application, and what are the differences between them?",Desktop,"Desktop, Exposing Applications, Matlab, Ansys, JupyterHub",1.0,True,en,0,5
How can I connect e-infra storage to the application and what credentials are required?,Desktop,"Desktop, RStudio, Matlab, Ansys, Storage Secrets",1.0,True,en,0,5
What are the CPU quota limits for the default project when selecting applications in Rancher?,Rancher Applications,"Rancher Applications, Projects, Namespaces, and Quotas, Desktop, Scipion, Requesting a Project, Access Control",1.0,True,en,0,5
What might happen if you do not select the 'Customize Helm options before install' during application installation?,Rancher Applications,"Ansys, Matlab, Scipion, Rancher Applications, Operator Summary",4.0,True,en,0,5
How can you limit charts to only display those related to 'cerit-sc' when selecting an application?,Rancher Applications,"Desktop, Ansys, Rancher Applications, Matlab, ownCloud",3.0,True,en,0,5
